time relative [s],angle [rad],control [V]
0.21172168,8.41946831162065,12
0.21270616,8.52418806674031,12
0.21435454,8.5870199198121,12
0.215322060000001,8.67079572390783,12
0.21704998,8.71268362595569,12
0.2180228,8.81740338107535,12
0.219565000000001,8.88023523414715,12
0.220619800000001,8.96401103824288,12
0.22231766,9.02684289131467,12
0.22327718,9.1106186954104,12
0.22475554,9.1734505484822,12
0.22572504,9.25722635257792,12
0.227408580000001,9.32005820564972,12
0.22838896,9.40383400974545,12
0.2300904,9.46666586281724,12
0.23107138,9.55044166691297,12
0.23258522,9.61327351998477,12
0.23357252,9.71799327510443,12
0.23531464,9.75988117715229,12
0.23636554,9.86460093227195,12
0.23801322,9.90648883431981,12
0.23898636,10.0112085894395,12
0.24045762,10.0530964914873,12
0.24141422,10.157816246607,12
0.243084520000001,10.1997041486549,12
0.24404832,10.3044239037745,12
0.24553126,10.3463118058224,12
0.24651062,10.451031560942,12
0.24824968,10.4929194629899,12
0.249240100000001,10.5976392181096,12
0.25079368,10.6604710711814,12
0.25176762,10.7442468752771,12
0.2534046,10.8070787283489,12
0.254375860000001,10.8908545324446,12
0.256109320000001,10.9536863855164,12
0.25719208,11.0374621896121,12
0.258656060000001,11.1002940426839,12
0.25963212,11.2050137978036,12
0.26134476,11.2469016998515,12
0.2623071,11.3516214549711,12
0.26378372,11.393509357019,12
0.264765260000001,11.4982291121386,12
0.26641332,11.5610609652104,12
0.26741994,11.6448367693062,12
0.2691423,11.707668622378,12
0.27012136,11.7914444264737,12
0.2716091,11.8542762795455,12
0.2725839,11.9589960346651,12
0.2743429,12.000883936713,12
0.27540556,12.1056036918327,12
0.27705894,12.1684355449045,12
0.278017340000001,12.2522113490002,12
0.27956258,12.315043202072,12
0.280534240000001,12.3988190061677,12
0.28225764,12.4616508592395,12
0.2832302,12.5663706143592,12
0.28470826,12.608258516407,12
0.28566672,12.7129782715267,12
0.28738428,12.7548661735746,12
0.288358140000001,12.8595859286942,12
0.28983132,12.9014738307421,12
0.290778100000001,13.0061935858617,12
0.29244462,13.0690254389335,12
0.29342598,13.1528012430293,12
0.29512344,13.1946891450771,12
0.296092600000001,13.2994089001968,12
0.297595940000001,13.3622407532686,12
0.29856226,13.4460165573643,12
0.3002895,13.5088484104361,12
0.301276700000001,13.6135681655558,12
0.30276962,13.6554560676036,12
0.30426084,13.7811197737472,12
0.306058360000001,13.8858395288669,12
0.30759862,13.9486713819387,12
0.30859394,14.0324471860344,12
0.310195240000001,14.0952790391062,12
0.311233140000001,14.1790548432019,12
0.31279112,14.2418866962737,12
0.31377232,14.3466064513934,12
0.31470828,14.3884943534413,12
0.316353500000001,14.472270157537,12
0.318040320000001,14.5351020106088,12
0.319116060000001,14.6398217657284,12
0.320642200000001,14.7026536188002,12
0.32161588,14.8073733739199,12
0.32321994,14.8492612759678,12
0.32423478,14.9330370800635,12
0.325982420000001,14.9958689331353,12
0.3268061,15.1005886882549,12
0.32843996,15.1634205413267,12
0.329492460000001,15.2471963454225,12
0.331254560000001,15.3100281984943,12
0.33226368,15.4147479536139,12
0.333831780000001,15.4775798066857,12
0.33480548,15.5613556107814,12
0.336479140000001,15.6241874638532,12
0.33747112,15.707963267949,12
0.33919222,15.7707951210208,12
0.34020386,15.8755148761404,12
0.34171084,15.9383467292122,12
0.342714460000001,16.0221225333079,12
0.344467020000001,16.0849543863797,12
0.34544534,16.1896741414994,12
0.3471754,16.2315620435473,12
0.34817282,16.3362817986669,12
0.3496525,16.3991136517387,12
0.35061148,16.5038334068584,12
0.352304600000001,16.5457213089062,12
0.35328502,16.6504410640259,12
0.3547573,16.6923289660738,12
0.35572414,16.7970487211934,12
0.3574308,16.8598805742652,12
0.3584116,16.943656378361,12
0.36013102,17.0064882314327,12
0.36119236,17.0902640355285,12
0.362679040000001,17.1530958886003,12
0.363644580000001,17.2578156437199,12
0.3652313,17.3206474967917,12
0.36628392,17.4044233008875,12
0.36735862,17.4672551539593,12
0.36862044,17.530087007031,12
0.3697143,17.6138628111268,12
0.37099258,17.6766946641986,12
0.37203258,17.7395265172704,12
0.37305178,17.8023583703422,12
0.37406398,17.865190223414,12
0.375116640000001,17.9280220764858,12
0.37615236,17.9908539295576,12
0.37724628,18.0327418316054,12
0.3782766,18.1165176357011,12
0.37929276,18.158405537749,12
0.380329840000001,18.2212373908208,12
0.381340860000001,18.2840692438926,12
0.382376860000001,18.3469010969644,12
0.38339978,18.4097329500362,12
0.384411940000001,18.472564803108,12
0.385444680000001,18.5353966561798,12
0.38645046,18.5772845582276,12
0.38752368,18.6401164112994,12
0.38854914,18.7238922153952,12
0.3895529,18.786724068467,12
0.39059584,18.8286119705148,12
0.39161096,18.8914438235866,12
0.39265062,18.9542756766584,12
0.39367712,19.0171075297302,12
0.39467696,19.079939382802,12
0.3957149,19.1427712358738,12
0.39671912,19.2056030889456,12
0.3977852,19.2684349420174,12
0.398807280000001,19.3312667950892,12
0.39980624,19.3731546971371,12
0.40099334,19.4359865502089,12
0.402001360000001,19.4988184032807,12
0.4033543,19.5616502563524,12
0.40440032,19.6454260604482,12
0.405439400000001,19.70825791352,12
0.406465620000001,19.7710897665918,12
0.40749792,19.8129776686396,12
0.40854612,19.8967534727354,12
0.40956962,19.9595853258072,12
0.41060142,20.0224171788789,12
0.411621,20.0643050809268,12
0.41262518,20.1271369339986,12
0.413650220000001,20.1899687870704,12
0.41467468,20.2528006401422,12
0.415702240000001,20.315632493214,12
0.41670764,20.3784643462858,12
0.417743720000001,20.4412961993576,12
0.418789340000001,20.5041280524294,12
0.4197999,20.5460159544772,12
0.42128882,20.629791758573,12
0.42231484,20.6926236116448,12
0.423343340000001,20.7554554647166,12
0.42436686,20.8182873177884,12
0.42539092,20.8811191708602,12
0.426433820000001,20.943951023932,12
0.427478380000001,20.9858389259798,12
0.42852268,21.0696147300755,12
0.42954922,21.1324465831473,12
0.430552040000001,21.1952784362191,12
0.43159278,21.2581102892909,12
0.43259962,21.2999981913388,12
0.433619940000001,21.3628300444106,12
0.43466836,21.4256618974824,12
0.435675580000001,21.4884937505542,12
0.436715260000001,21.551325603626,12
0.43775458,21.6141574566978,12
0.43880668,21.6769893097696,12
0.43982536,21.7398211628414,12
0.44082252,21.7817090648892,12
0.441991700000001,21.844540917961,12
0.443004060000001,21.9073727710328,12
0.44402092,21.9702046241046,12
0.445046580000001,22.0330364771764,12
0.44605366,22.0958683302482,12
0.44712422,22.15870018332,12
0.44817202,22.2215320363918,12
0.4492447,22.2843638894636,12
0.45027698,22.3471957425354,12
0.451305820000001,22.3890836445833,12
0.452353060000001,22.4519154976551,12
0.4533812,22.5147473507268,12
0.45442604,22.5775792037986,12
0.455449740000001,22.6404110568704,12
0.45645208,22.7032429099422,12
0.457528480000001,22.766074763014,12
0.45853986,22.8289066160858,12
0.459577220000001,22.8917384691576,12
0.46059224,22.9545703222294,12
0.461598680000001,23.0174021753012,12
0.46263588,23.080234028373,12
0.46366368,23.1430658814448,12
0.46469872,23.1849537834927,12
0.46571268,23.2477856365645,12
0.46671908,23.3106174896363,12
0.467789120000001,23.3734493427081,12
0.46906722,23.4362811957799,12
0.470102420000001,23.4991130488517,12
0.471117500000001,23.5619449019234,12
0.47213332,23.6247767549952,12
0.47378482,23.687608608067,12
0.475442820000001,23.7923283631867,12
0.47643826,23.8761041672824,12
0.478091040000001,23.9389360203542,12
0.47907446,24.02271182445,12
0.48055344,24.0855436775217,12
0.48154962,24.1902634326414,12
0.48247718,24.2321513346893,12
0.48414462,24.3368710898089,12
0.48508026,24.3787589918568,12
0.486639980000001,24.4834787469765,12
0.48762536,24.5463106000482,12
0.48928944,24.630086404144,12
0.490255740000001,24.6929182572158,12
0.49174492,24.7976380123354,12
0.4926753,24.8395259143833,12
0.49438286,24.944245669503,12
0.495333080000001,24.9861335715508,12
0.496809620000001,25.0908533266705,12
0.49780796,25.1536851797423,12
0.499529300000001,25.237460983838,12
0.500483,25.3002928369098,12
0.502128300000001,25.3840686410055,12
0.5041687,25.4469004940773,12
0.50527062,25.5725642002209,12
0.50702816,25.6353960532927,12
0.50801246,25.7401158084124,12
0.50953926,25.8029476614842,12
0.51060964,25.9076674166038,12
0.512384040000001,25.9495553186517,12
0.513338,26.0542750737714,12
0.514808680000001,26.1171069268431,12
0.51577604,26.2008827309389,12
0.51748118,26.2637145840107,12
0.518457140000001,26.3474903881064,12
0.520230720000001,26.4103222411782,12
0.5212184,26.5150419962979,12
0.52271454,26.5778738493696,12
0.52367054,26.6616496534654,12
0.52544324,26.7244815065372,12
0.526469820000001,26.8292012616568,12
0.52820218,26.9339210167765,12
0.529202860000001,26.9758089188244,12
0.53068778,27.080528673944,12
