Sample,X(ms) [23.05.2017 17:24:33 881 UTC],"I_encoder"[%ID1000],"M_beam_PID_manual_control"[%M4.3]
9469,11171.935000,1906,1
9470,11173.699740,1907,1
9471,11174.692320,1908,1
9472,11176.324240,1909,1
9473,11177.253760,1910,1
9474,11178.770460,1910,1
9475,11179.737420,1912,1
9476,11181.419800,1912,1
9477,11182.386680,1914,1
9478,11183.858620,1914,1
9479,11184.857800,1915,1
9480,11186.541300,1916,1
9481,11187.509280,1917,1
9482,11188.990820,1918,1
9483,11189.961700,1919,1
9484,11191.637840,1920,1
9485,11192.610260,1921,1
9486,11194.315020,1922,1
9487,11195.280740,1923,1
9488,11196.791920,1924,1
9489,11197.837300,1925,1
9490,11199.529040,1926,1
9491,11200.506440,1927,1
9492,11202.008180,1928,1
9493,11202.979360,1929,1
9494,11204.688300,1930,1
9495,11205.653280,1931,1
9496,11207.330540,1931,1
9497,11208.285900,1933,1
9498,11209.770620,1933,1
9499,11210.757840,1935,1
9500,11212.478620,1935,1
9501,11213.473940,1937,1
9502,11214.971380,1937,1
9503,11215.952460,1939,1
9504,11217.627780,1939,1
9505,11218.611580,1941,1
9506,11220.308020,1941,1
9507,11221.261960,1943,1
9508,11222.785780,1943,1
9509,11223.823920,1945,1
9510,11225.556840,1945,1
9511,11226.524900,1947,1
9512,11228.020980,1947,1
9513,11228.998540,1949,1
9514,11230.676140,1949,1
9515,11231.638900,1950,1
9516,11233.306220,1951,1
9517,11234.291720,1952,1
9518,11235.797560,1953,1
9519,11236.776140,1954,1
9520,11238.502580,1955,1
9521,11239.484060,1956,1
9522,11240.959380,1957,1
9523,11241.952240,1958,1
9524,11243.704940,1959,1
9525,11244.708900,1960,1
9526,11246.734120,1961,1
9527,11247.704880,1963,1
9528,11249.352560,1964,1
9529,11250.285500,1965,1
9530,11251.377500,1966,1
9531,11252.397540,1966,1
9532,11253.464240,1967,1
9533,11254.537740,1968,1
9534,11255.588540,1969,1
9535,11256.603080,1970,1
9536,11257.612040,1970,1
9537,11258.655940,1971,1
9538,11259.679280,1972,1
9539,11260.701820,1973,1
9540,11261.720520,1974,1
9541,11262.727620,1974,1
9542,11263.748880,1975,1
9543,11264.792540,1976,1
9544,11265.814760,1977,1
9545,11266.832780,1978,1
9546,11267.838200,1978,1
9547,11268.901240,1979,1
9548,11269.902600,1980,1
9549,11270.923580,1981,1
9550,11271.934460,1982,1
9551,11272.944040,1982,1
9552,11273.975900,1983,1
9553,11275.018200,1984,1
9554,11276.239020,1985,1
9555,11277.258900,1986,1
9556,11278.255560,1986,1
9557,11279.276680,1987,1
9558,11280.271840,1988,1
9559,11281.292400,1989,1
9560,11282.317680,1989,1
9561,11283.322060,1990,1
9562,11284.402040,1991,1
9563,11285.426680,1992,1
9564,11286.485500,1993,1
9565,11287.522300,1993,1
9566,11288.548880,1994,1
9567,11289.583960,1995,1
9568,11290.591740,1996,1
9569,11291.606760,1997,1
9570,11292.631820,1997,1
9571,11293.633280,1998,1
9572,11294.696220,1999,1
9573,11295.705200,2000,1
9574,11296.730300,2001,1
9575,11297.746860,2002,1
9576,11298.752140,2002,1
9577,11299.777520,2003,1
9578,11300.791440,2004,1
9579,11301.811580,2005,1
9580,11302.835680,2006,1
9581,11303.837840,2006,1
9582,11304.901900,2007,1
9583,11305.932780,2008,1
9584,11306.962240,2009,1
9585,11307.977020,2010,1
9586,11308.986280,2010,1
9587,11310.009720,2011,1
9588,11311.463140,2012,1
9589,11312.535660,2013,1
9590,11313.558980,2014,1
9591,11314.636880,2015,1
9592,11315.651500,2015,1
9593,11316.655100,2016,1
9594,11317.684880,2017,1
9595,11318.704340,2018,1
9596,11319.948840,2019,1
9597,11320.995780,2020,1
9598,11322.272240,2021,1
9599,11323.330880,2021,1
9600,11324.372680,2022,1
9601,11325.413600,2023,1
9602,11326.447280,2024,1
9603,11327.498660,2025,1
9604,11328.538520,2025,1
9605,11329.548640,2026,1
9606,11330.581000,2027,1
9607,11331.607120,2028,1
9608,11332.639760,2029,1
9609,11333.646160,2029,1
9610,11334.680660,2030,1
9611,11335.715720,2031,1
9612,11336.713720,2032,1
9613,11337.739360,2033,1
9614,11338.753740,2034,1
9615,11339.772120,2034,1
9616,11340.797560,2035,1
9617,11341.803000,2036,1
9618,11342.805960,2037,1
9619,11343.839100,2038,1
9620,11344.872480,2038,1
9621,11345.907080,2039,1
9622,11347.453940,2040,1
9623,11348.522520,2041,1
9624,11349.555320,2042,1
9625,11350.586680,2043,1
9626,11351.602220,2044,1
9627,11352.616060,2044,1
9628,11353.660860,2045,1
9629,11354.702180,2046,1
9630,11355.736600,2047,1
9631,11356.751340,2048,1
9632,11357.754340,2049,1
9633,11358.768700,2049,1
9634,11359.781580,2050,1
9635,11360.779900,2051,1
9636,11361.807080,2052,1
9637,11362.820780,2052,1
9638,11363.835480,2053,1
9639,11364.888140,2054,1
9640,11365.902580,2055,1
9641,11366.941900,2056,1
9642,11367.929160,2056,1
9643,11368.956560,2057,1
9644,11369.978500,2058,1
9645,11370.982900,2059,1
9646,11372.013700,2060,1
9647,11373.019540,2060,1
9648,11374.050320,2061,1
9649,11375.084100,2062,1
9650,11376.079080,2063,1
9651,11377.306620,2064,1
9652,11378.319180,2065,1
9653,11379.364980,2065,1
9654,11380.397820,2066,1
9655,11381.421440,2067,1
9656,11382.496080,2068,1
9657,11383.517320,2069,1
9658,11384.588300,2069,1
9659,11385.606920,2070,1
9660,11386.650920,2071,1
9661,11387.663480,2072,1
9662,11388.678640,2073,1
9663,11390.453360,2073,1
