timestamp [s],angle [rad],control [V]
12.81177688,53.5955706702419,12
12.81280152,53.5955706702419,12
12.8138335,53.6165146212658,12
12.81488056,53.6374585722897,12
12.81588966,53.6584025233137,12
12.81692128,53.6793464743376,12
12.81793924,53.6793464743376,12
12.81896866,53.7002904253615,12
12.81998094,53.7212343763855,12
12.8209803,53.7421783274094,12
12.82201672,53.7631222784333,12
12.82301166,53.7631222784333,12
12.82404724,53.7840662294573,12
12.82523826,53.8050101804812,12
12.82608814,53.8259541315051,12
12.8272646,53.8468980825291,12
12.82826182,53.8468980825291,12
12.82928874,53.867842033553,12
12.83028772,53.8887859845769,12
12.83138588,53.9097299356009,12
12.83247762,53.9306738866248,12
12.83350096,53.9516178376487,12
12.83459156,53.9516178376487,12
12.83560368,53.9725617886726,12
12.83662308,53.9935057396966,12
12.83765494,54.0144496907205,12
12.83866188,54.0353936417444,12
12.8396829,54.0353936417444,12
12.8406967,54.0563375927684,12
12.8417004,54.0772815437923,12
12.84274602,54.0982254948162,12
12.84374818,54.1191694458402,12
12.84481,54.1401133968641,12
12.84582548,54.1401133968641,12
12.8473599,54.161057347888,12
12.84840886,54.182001298912,12
12.8494462,54.2029452499359,12
12.8505128,54.2238892009598,12
12.85153416,54.2448331519838,12
12.85257136,54.2657771030077,12
12.85359506,54.2657771030077,12
12.85462666,54.2867210540316,12
12.8556602,54.3076650050556,12
12.85665818,54.3286089560795,12
12.85768658,54.3495529071034,12
12.8586894,54.3704968581274,12
12.85968636,54.3704968581274,12
12.86071872,54.3914408091513,12
12.86172592,54.4123847601752,12
12.86276616,54.4333287111992,12
12.86378038,54.4542726622231,12
12.86480734,54.4542726622231,12
12.86584552,54.475216613247,12
12.86684974,54.496160564271,12
12.8678677,54.5171045152949,12
12.86889,54.5380484663188,12
12.8698849,54.5380484663188,12
12.87091094,54.5589924173427,12
12.87192082,54.5799363683667,12
12.87295208,54.6008803193906,12
12.87473388,54.6218242704145,12
12.87646186,54.6427682214385,12
12.87745998,54.6637121724624,12
12.87892822,54.6846561234863,12
12.87989096,54.7056000745103,12
12.88158528,54.7265440255342,12
12.88255698,54.7474879765581,12
12.88403534,54.7684319275821,12
12.88502936,54.789375878606,12
12.88666524,54.8103198296299,12
12.88762968,54.8312637806539,12
12.88929842,54.8522077316778,12
12.89026264,54.8731516827017,12
12.8918,54.8940956337257,12
12.89280458,54.9359835357735,12
12.89462728,54.9359835357735,12
12.89559482,54.9778714378214,12
12.89759798,54.9988153888453,12
12.89855262,55.0197593398693,12
12.90003832,55.0407032908932,12
12.90097966,55.0616472419171,12
12.9026688,55.082591192941,12
12.90362778,55.103535143965,12
12.90528926,55.1244790949889,12
12.9060805,55.1454230460128,12
12.90780744,55.1663669970368,12
12.90876584,55.1873109480607,12
12.91039306,55.2082548990846,12
12.91134248,55.2291988501086,12
12.91288834,55.2501428011325,12
12.91385082,55.2710867521564,12
12.91563188,55.2920307031804,12
12.91666944,55.3129746542043,12
12.9183745,55.3548625562522,12
12.91930862,55.3548625562522,12
12.92084236,55.3967504583,12
12.92177268,55.4176944093239,12
12.92344458,55.4386383603479,12
12.92443614,55.4386383603479,12
12.92599622,55.4805262623958,12
12.92702518,55.5014702134197,12
12.92872954,55.5224141644436,12
12.92966592,55.5433581154675,12
12.93130882,55.5643020664915,12
12.93224622,55.5852460175154,12
12.93386394,55.6061899685393,12
12.93489934,55.6271339195633,12
12.93659738,55.6480778705872,12
12.9375426,55.6690218216111,12
12.93905824,55.6899657726351,12
12.93998948,55.710909723659,12
12.94165002,55.7318536746829,12
12.94259728,55.7527976257069,12
12.94408018,55.7737415767308,12
12.94506658,55.7946855277547,12
12.9473813,55.8156294787787,12
12.94894576,55.8365734298026,12
12.94990988,55.8784613318504,12
12.95158676,55.8994052828744,12
12.95262778,55.9203492338983,12
12.95436922,55.9412931849223,12
12.95533516,55.9622371359462,12
12.95685798,55.9831810869701,12
12.95782034,56.004125037994,12
12.9595691,56.025068989018,12
12.9606285,56.0460129400419,12
12.96230552,56.0669568910658,12
12.96326372,56.0879008420898,12
12.96476248,56.1088447931137,12
12.96572182,56.1297887441376,12
12.96741998,56.1507326951616,12
12.96843468,56.1716766461855,12
12.96990528,56.1926205972094,12
12.97085608,56.2345084992573,12
12.97254848,56.2345084992573,12
12.973525,56.2554524502812,12
12.97501402,56.2763964013052,12
12.97598198,56.318284303353,12
12.97763558,56.318284303353,12
12.97861286,56.3601722054009,12
12.9802883,56.3601722054009,12
12.98124502,56.4020601074488,12
12.98278334,56.4020601074488,12
12.98378598,56.4439480094966,12
