time,motor,crank angle,crank angular velocity
0.87747996,7,2.2619469165802,0
0.87939506,7,2.2619469165802,0
0.88117692,7,2.2619469165802,0
0.88234166,7,2.2619469165802,0
0.8842604,7,2.2619469165802,0
0.88539344,7,2.2619469165802,0
0.88722146,7,2.2619469165802,0
0.88908484,7,2.2619469165802,0
0.89023702,7,2.2619469165802,0
0.89234954,7,2.2619469165802,0
0.89415746,7,2.2619469165802,0
0.8953252,7,2.2619469165802,0
0.89727342,7,2.2619469165802,0
0.89852326,7,2.2619469165802,0
0.9003655,7,2.2619469165802,0
0.90219744,7,2.2619469165802,0
0.90335022,7,2.2619469165802,0
0.90451324,7,2.2619469165802,0
0.90587872,7,2.2619469165802,0
0.90710356,7,2.2619469165802,0
0.90835626,7,2.2619469165802,0
0.909567,7,2.2619469165802,0
