time [s],angle [rad],voltage [V]
2.29789446,0,0
2.29892854,0,0
2.2999999,0,0
2.30102566,0,0
2.3020243,0,0
2.30321484,0,0
2.30421608,0,0
2.3052803,0,0
2.30630946,0,0
2.30736776,0,0
2.30841824,0,0
2.30982452,0,0
2.31089924,0,0
2.31192176,0,0
2.31295896,0,0
2.31397492,0,0
2.31497484,0,0
2.3160105,0,0
2.3170202,0,0
2.31820292,0,0
2.31925352,0,0
2.3203011,0,0
2.3213297,0,0
2.32235706,0,0
2.3234265,0,0
2.32447226,0,0
2.32552588,0,0
2.32655624,0,0
2.32757466,0,0
2.32862718,0,0
2.32967472,0,0
2.33071506,0,0
2.33177402,0,0
2.33278298,0,0
2.33382556,0,0
2.33527836,0,0
2.33635628,0,0
2.33742758,0,0
2.3392371,0,0
2.34022552,0,0
2.34171542,0,0
2.34269374,0,0
2.34441384,0,0
2.34541016,0,0
2.34687884,0,0
2.3478638,0,0
2.34964182,0,0
2.35060818,0,0
2.35234032,0,0
2.35340388,0,0
2.35491358,0,0
2.35588196,0,0
2.35759834,0,0
2.35858212,0,0
2.36024102,0,0
2.36103628,0,0
2.36272418,0,0
2.36369144,0,0
2.3653607,0,0
2.36635632,0,0
2.36785232,0,0
2.36881912,0,0
2.37060044,0,0
2.37158316,0,0
2.37320676,0,0
2.37400948,0,0
2.375751,0,0
2.37678066,0,0
2.3784923,0,0
2.37950644,0,0
2.3810218,0,0
2.38331602,0,0
2.38429638,0,0
2.38578952,0,0
2.38675004,0,0
2.38847764,0,0
2.38949834,0,0
2.39099358,0,0
2.39197816,0,0
2.39365652,0,0
2.39461992,0,0
2.39632918,0,0
2.3973221,0,0
2.3988039,0,0
2.39980588,0,0
2.40152362,0,0
2.40249846,0,0
2.40398178,0,0
2.404966,0,0
2.40663448,0,0
2.40761022,0,0
2.40968162,0,0
2.41138158,0,0
2.41240504,0,0
2.41394746,0,0
2.41491662,0,0
2.4158524,0,0
2.41751138,0,0
2.41923024,0,0
2.42036152,0,0
