Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
881,1089.599700,1631,0,0
882,1090.636940,1631,0,0
883,1091.641940,1631,0,0
884,1092.717520,1631,0,0
885,1093.739540,1631,0,0
886,1094.790600,1631,0,0
887,1095.812560,1631,0,0
888,1096.827020,1631,0,0
889,1097.856840,1631,0,0
890,1098.873840,1631,0,0
891,1099.906240,1631,0,0
892,1100.939520,1631,0,0
893,1101.952280,1631,0,0
894,1103.033680,1631,0,0
895,1104.049360,1631,0,0
896,1105.085640,1631,0,0
897,1106.247780,1631,0,0
898,1107.259900,1631,0,0
899,1108.302220,1631,0,0
900,1109.315500,1631,0,0
901,1110.368200,1631,0,0
902,1111.400340,1631,0,0
903,1112.501560,1631,0,0
904,1113.548540,1631,0,0
905,1115.725540,1631,0,0
906,1116.730700,1631,0,0
907,1118.330420,1631,0,0
908,1119.315300,1631,0,0
909,1120.812780,1631,0,0
910,1121.815860,1631,0,0
911,1122.788560,1631,0,0
912,1124.467380,1631,0,0
913,1125.441160,1631,0,0
914,1127.026900,1631,0,0
915,1127.965660,1631,0,0
916,1129.618980,1631,0,0
917,1130.565160,1631,0,0
918,1132.349340,1631,0,0
919,1133.893440,1631,0,0
920,1134.918400,1631,0,0
921,1136.529660,1631,0,0
922,1137.534300,1631,0,0
923,1139.335940,1631,0,0
924,1140.355040,1631,0,0
925,1141.900200,1631,0,0
926,1142.947040,1631,0,0
927,1144.604500,1631,0,0
928,1145.658120,1631,0,0
929,1147.396440,1631,0,0
930,1148.432140,1631,0,0
931,1149.930000,1631,0,0
932,1150.942000,1631,0,0
933,1152.686660,1631,0,0
934,1153.655880,1631,0,0
935,1155.380900,1631,0,0
936,1156.457220,1631,0,0
937,1157.978900,1631,0,0
938,1158.933440,1631,0,0
939,1160.659700,1631,0,0
940,1161.657600,1631,0,0
941,1163.706940,1631,0,0
942,1165.487060,1631,0,0
943,1166.514000,1631,0,0
944,1168.018140,1631,0,0
945,1169.013860,1631,0,0
946,1170.739840,1631,0,0
947,1171.791220,1631,0,0
948,1173.547060,1631,0,0
949,1174.541580,1631,0,0
