Sample,X(ms) [18.06.2017 17:27:22 855 UTC],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_beam_PWM_output"[%MW22]
240,1942.477960,-0.106905922293663,-2.16678357124329,4
241,1949.693860,-0.111787334084511,-2.16678357124329,4
242,1956.672520,-0.111787334084511,-2.16678357124329,4
243,1966.895260,-0.116645328700542,-0.688779056072235,-7
244,1975.292240,-0.116645328700542,-0.688779056072235,-7
245,1984.674740,-0.121476896107197,-0.688779056072235,-7
246,1993.144760,-0.121476896107197,-0.688779056072235,-7
247,2001.981600,-0.121476896107197,-0.688779056072235,-7
248,2011.125400,-0.121476896107197,-0.688779056072235,-7
249,2020.153740,-0.121476896107197,-0.0966313481330872,-12
250,2029.505180,-0.126279890537262,-0.0966313481330872,-12
251,2037.987780,-0.131051361560822,-0.0966313481330872,-12
252,2047.278340,-0.131051361560822,-0.0966313481330872,-12
253,2055.824800,-0.135790914297104,-0.0966313481330872,-12
254,2065.514480,-0.140497326850891,-0.380408614873886,-8
255,2073.995240,-0.145164266228676,-0.380408614873886,-8
256,2082.501120,-0.149793058633804,-0.380408614873886,-8
257,2090.780880,-0.1543800085783,-0.380408614873886,-8
258,2097.681760,-0.1543800085783,-0.380408614873886,-8
259,2104.968280,-0.158925592899323,-0.380408614873886,-8
260,2111.913400,-0.163424491882324,-0.380408614873886,-8
261,2119.132900,-0.167877197265625,-0.458543300628662,-6
262,2126.071880,-0.167877197265625,-0.458543300628662,-6
263,2132.956940,-0.1722801476717,-0.458543300628662,-6
264,2139.869800,-0.1722801476717,-0.458543300628662,-6
265,2147.231680,-0.176633790135384,-0.458543300628662,-6
266,2154.121140,-0.176633790135384,-0.458543300628662,-6
267,2161.869560,-0.180933028459549,-0.458543300628662,-6
268,2171.188800,-0.185178339481354,-0.350170731544495,-6
269,2179.836720,-0.185178339481354,-0.350170731544495,-6
270,2189.035120,-0.189366310834885,-0.350170731544495,-6
271,2197.610980,-0.189366310834885,-0.350170731544495,-6
272,2206.853320,-0.193498104810715,-0.350170731544495,-6
273,2215.181960,-0.193498104810715,-0.251301527023315,-6
274,2223.758340,-0.193498104810715,-0.251301527023315,-6
275,2232.199640,-0.19756743311882,-0.251301527023315,-6
276,2239.143000,-0.19756743311882,-0.251301527023315,-6
277,2246.553640,-0.201575487852097,-0.251301527023315,-6
278,2253.303320,-0.201575487852097,-0.251301527023315,-6
279,2260.292500,-0.201575487852097,-0.251301527023315,-6
280,2267.666140,-0.205518305301666,-0.240404009819031,-5
281,2274.553560,-0.205518305301666,-0.240404009819031,-5
282,2281.504040,-0.205518305301666,-0.240404009819031,-5
283,2288.461120,-0.205518305301666,-0.240404009819031,-5
284,2295.219840,-0.205518305301666,-0.240404009819031,-5
285,2302.144100,-0.205518305301666,-0.240404009819031,-5
286,2309.596040,-0.209398448467255,-0.240404009819031,-5
287,2316.910840,-0.209398448467255,-0.0776028633117676,-6
288,2323.809360,-0.209398448467255,-0.0776028633117676,-6
289,2330.753740,-0.209398448467255,-0.0776028633117676,-6
290,2337.664700,-0.209398448467255,-0.0776028633117676,-6
291,2344.926100,-0.209398448467255,-0.0776028633117676,-6
292,2354.140460,-0.209398448467255,-0.0776028633117676,-6
293,2362.767680,-0.209398448467255,-0.0776028633117676,-6
294,2372.302960,-0.209398448467255,0,-7
295,2380.909060,-0.209398448467255,0,-7
296,2390.224460,-0.209398448467255,0,-7
297,2398.969480,-0.213209241628647,0,-7
298,2407.575880,-0.213209241628647,0,-7
299,2417.085100,-0.213209241628647,-0.0762158632278442,-6
300,2425.684720,-0.213209241628647,-0.0762158632278442,-6
301,2434.996620,-0.213209241628647,-0.0762158632278442,-6
302,2443.739400,-0.213209241628647,-0.0762158632278442,-6
303,2452.937960,-0.213209241628647,-0.0762158632278442,-6
304,2461.660380,-0.216951847076416,-0.0762158632278442,-6
305,2471.026740,-0.216951847076416,-0.0748521089553833,-6
306,2479.718960,-0.216951847076416,-0.0748521089553833,-6
307,2486.977700,-0.216951847076416,-0.0748521089553833,-6
308,2493.847320,-0.220623224973679,-0.0748521089553833,-6
309,2500.824420,-0.220623224973679,-0.0748521089553833,-6
310,2508.129320,-0.220623224973679,-0.0748521089553833,-6
311,2515.536980,-0.220623224973679,-0.0734275579452515,-5
312,2523.870780,-0.224223762750626,-0.0734275579452515,-5
313,2533.079880,-0.224223762750626,-0.0734275579452515,-5
314,2541.823580,-0.224223762750626,-0.0734275579452515,-5
315,2550.913960,-0.224223762750626,-0.0734275579452515,-5
316,2559.300640,-0.227749854326248,-0.0734275579452515,-5
317,2568.201920,-0.227749854326248,-0.142532587051392,-4
318,2575.103960,-0.227749854326248,-0.142532587051392,-4
319,2582.066340,-0.227749854326248,-0.142532587051392,-4
320,2589.014340,-0.227749854326248,-0.142532587051392,-4
321,2595.956060,-0.227749854326248,-0.142532587051392,-4
322,2602.857740,-0.227749854326248,-0.142532587051392,-4
323,2610.158340,-0.227749854326248,-0.142532587051392,-4
324,2617.576420,-0.227749854326248,0,-5
325,2624.456640,-0.227749854326248,0,-5
326,2631.252960,-0.227749854326248,0,-5
327,2638.193740,-0.227749854326248,0,-5
328,2645.559640,-0.227749854326248,0,-5
329,2652.529020,-0.227749854326248,0,-5
330,2659.468240,-0.227749854326248,0,-5
331,2666.730760,-0.227749854326248,0,-5
332,2673.615040,-0.227749854326248,0,-5
333,2680.536800,-0.227749854326248,0,-5
334,2687.299160,-0.227749854326248,0,-5
335,2694.159000,-0.227749854326248,0,-5
336,2701.133620,-0.227749854326248,0,-5
337,2708.190520,-0.227749854326248,0,-5
338,2715.572760,-0.227749854326248,0,-5
339,2722.482900,-0.227749854326248,0,-5
340,2729.256440,-0.227749854326248,0,-5
341,2736.166560,-0.227749854326248,0,-5
342,2743.124060,-0.227749854326248,0,-5
343,2750.285440,-0.227749854326248,0,-5
344,2757.188780,-0.227749854326248,0,-5
345,2764.167040,-0.227749854326248,0,-5
346,2772.694840,-0.227749854326248,0,-5
347,2781.185180,-0.227749854326248,0,-5
348,2790.629740,-0.227749854326248,0,-5
349,2799.068800,-0.227749854326248,0,-5
350,2808.244480,-0.227749854326248,0,-5
351,2817.468380,-0.227749854326248,0,-5
352,2826.722120,-0.227749854326248,0,-5
353,2835.492160,-0.227749854326248,0,-5
354,2844.774440,-0.227749854326248,0,-5
355,2853.243700,-0.227749854326248,0,-5
