Sample,X(ms) [18.06.2017 17:26:23 699 UTC],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_beam_PWM_output"[%MW22]
230,1856.591120,0.172971397638321,0,-7
231,1863.505800,0.172971397638321,0,-7
232,1872.425720,0.172971397638321,0,-7
233,1881.583780,0.172971397638321,0,-7
234,1890.260500,0.172971397638321,0,-7
235,1899.352040,0.172971397638321,0,-7
236,1907.862580,0.172971397638321,0,-7
237,1916.515580,0.172971397638321,0,-7
238,1926.054000,0.172971397638321,0,-7
239,1934.713780,0.172971397638321,0,-7
240,1943.890920,0.172971397638321,0,-7
241,1952.624000,0.172971397638321,0,-7
242,1961.786380,0.172971397638321,0,-7
243,1970.505020,0.172971397638321,0,-7
244,1979.987800,0.172971397638321,0,-7
245,1988.575260,0.172971397638321,0,-7
246,1997.877080,0.172971397638321,0,-7
247,2006.433220,0.172971397638321,0,-7
248,2014.973460,0.172971397638321,0,-7
249,2022.736880,0.172971397638321,0,-7
250,2029.593600,0.172971397638321,0,-7
251,2036.510820,0.172971397638321,0,-7
252,2043.837340,0.172971397638321,0,-7
253,2050.769740,0.172971397638321,0,-7
254,2057.702820,0.172971397638321,0,-7
255,2064.629300,0.172971397638321,0,-7
256,2071.719600,0.172971397638321,0,-7
257,2078.638660,0.172971397638321,0,-7
258,2086.639460,0.172971397638321,0,-7
259,2095.739500,0.172971397638321,0,-7
260,2104.383840,0.172971397638321,0,-7
261,2112.851640,0.172971397638321,0,-7
262,2122.315360,0.172971397638321,0,-7
263,2130.798140,0.172971397638321,0,-7
264,2137.717580,0.172971397638321,0,-7
265,2144.969040,0.172971397638321,0,-7
266,2151.891300,0.172971397638321,0,-7
267,2158.845480,0.172971397638321,0,-7
268,2165.792040,0.172971397638321,0,-7
269,2172.955100,0.172971397638321,0,-7
270,2179.854120,0.172971397638321,0,-7
271,2186.770000,0.172971397638321,0,-7
272,2193.688480,0.172971397638321,0,-7
273,2200.842240,0.172971397638321,0,-7
274,2207.815200,0.172971397638321,0,-7
275,2214.767820,0.172971397638321,0,-7
276,2221.873280,0.172971397638321,0,-7
277,2228.843720,0.172971397638321,0,-7
278,2235.791480,0.172971397638321,0,-7
279,2242.871400,0.172971397638321,0,-7
280,2249.765580,0.172971397638321,0,-7
281,2256.725460,0.172971397638321,0,-7
282,2263.615280,0.172971397638321,0,-7
283,2270.519120,0.172971397638321,0,-7
284,2279.967500,0.172971397638321,0,-7
285,2289.062080,0.172971397638321,0,-7
286,2297.769500,0.172971397638321,0,-7
287,2307.226660,0.172971397638321,0,-7
288,2315.873480,0.172971397638321,0,-7
289,2325.523740,0.172971397638321,0,-7
290,2334.072240,0.172971397638321,0,-7
291,2343.467660,0.172971397638321,0,-7
292,2352.018720,0.172971397638321,0,-7
293,2360.660800,0.172971397638321,0,-7
294,2369.878380,0.172971397638321,0,-7
295,2378.672460,0.172971397638321,0,-7
296,2387.826940,0.172971397638321,0,-7
297,2396.344640,0.172971397638321,0,-7
298,2404.943760,0.172971397638321,0,-7
299,2412.354980,0.172971397638321,0,-7
300,2419.237980,0.172971397638321,0,-7
301,2426.401240,0.172971397638321,0,-7
302,2433.475440,0.172971397638321,0,-7
303,2440.555920,0.172971397638321,0,-7
304,2449.814460,0.172971397638321,0,-7
305,2458.369060,0.172971397638321,0,-7
306,2466.987460,0.172971397638321,0,-7
307,2476.519620,0.172971397638321,0,-7
308,2485.278480,0.172971397638321,0,-7
309,2492.726640,0.172971397638321,0,-7
310,2499.599440,0.172971397638321,0,-7
311,2506.816620,0.172971397638321,0,-7
312,2513.716000,0.172971397638321,0,-7
313,2520.590840,0.172971397638321,0,-7
314,2527.813860,0.172971397638321,0,-7
315,2534.756220,0.172971397638321,0,-7
316,2542.468980,0.172971397638321,0,-7
317,2549.364900,0.172971397638321,0,-7
318,2556.395480,0.172971397638321,0,-7
319,2563.335440,0.172971397638321,0,-7
320,2570.059860,0.172971397638321,0,-7
321,2577.413920,0.172971397638321,0,-7
322,2584.324680,0.172971397638321,0,-7
323,2591.043600,0.172971397638321,0,-7
324,2597.930060,0.172971397638321,0,-7
325,2605.322960,0.172971397638321,0,-7
326,2612.012060,0.172971397638321,0,-7
327,2618.873860,0.172971397638321,0,-7
328,2626.241920,0.172971397638321,0,-7
329,2633.033400,0.172971397638321,0,-7
330,2639.902140,0.172971397638321,0,-7
331,2646.911820,0.172971397638321,0,-7
332,2653.850080,0.172971397638321,0,-7
333,2660.797360,0.172971397638321,0,-7
334,2667.697420,0.172971397638321,0,-7
335,2674.888440,0.172971397638321,0,-7
336,2684.345700,0.172971397638321,0,-7
337,2692.790740,0.172971397638321,0,-7
338,2701.340920,0.172971397638321,0,-7
339,2710.600220,0.172971397638321,0,-7
340,2719.249260,0.172971397638321,0,-7
341,2728.779220,0.172971397638321,0,-7
