Sample,X(ms) [16.06.2017 10:30:22 626 UTC],time [s],"M_beam_angle"[%MD24],"M_crank_angle"[%MD72],"Q_motor_direction"[%Q4.0],"Q_motor_PWM"[%QW1000],control
602,'877,0104','0,8770104','-0,0011424124','1,7802358866',0,0,0
603,'878,20124','0,87820124','-0,0011424124','1,7802358866',0,0,0
604,'879,58134','0,87958134','-0,0011424124','1,7802358866',0,0,0
605,'880,79558','0,88079558','-0,0011424124','1,7802358866',0,0,0
606,'882,01058','0,88201058','-0,0011424124','1,7802358866',0,0,0
607,'883,205','0,883205','-0,0011424124','1,7802358866',0,0,0
608,'884,59142','0,88459142','-0,0011424124','1,7802358866',0,0,0
609,'886,0555','0,8860555','-0,0011424124','1,7802358866',0,0,0
610,'887,66038','0,88766038','-0,0011424124','1,7802358866',0,0,0
611,'888,89504','0,88889504','-0,0011424124','1,7802358866',0,0,0
612,'890,07944','0,89007944','-0,0011424124','1,7802358866',0,0,0
613,'891,74954','0,89174954','-0,0011424124','1,7802358866',0,0,0
614,'892,94964','0,89294964','-0,0011424124','1,7802358866',0,0,0
615,'894,15598','0,89415598','-0,0011424124','1,7802358866',0,0,0
616,'895,5081','0,8955081','-0,0011424124','1,7802358866',0,0,0
617,'896,7629','0,8967629','-0,0011424124','1,7802358866',0,0,0
618,'897,96334','0,89796334','-0,0011424124','1,7802358866',0,0,0
619,'899,15138','0,89915138','-0,0011424124','1,7802358866',0,0,0
620,'900,76024','0,90076024','-0,0011424124','1,7802358866',0,0,0
621,'901,9884','0,9019884','-0,0011424124','1,7802358866',0,0,0
622,'903,18788','0,90318788','-0,0011424124','1,7802358866',0,0,0
623,'904,55612','0,90455612','-0,0011424124','1,7802358866',0,0,0
624,'905,77434','0,90577434','-0,0011424124','1,7802358866',0,0,0
625,'907,0152','0,9070152','-0,0011424124','1,7802358866',0,0,0
626,'908,2059','0,9082059','-0,0011424124','1,7802358866',0,0,0
627,'909,58528','0,90958528','-0,0011424124','1,7802358866',0,0,0
628,'910,80964','0,91080964','-0,0011424124','1,7802358866',0,0,0
629,'911,99268','0,91199268','-0,0011424124','1,7802358866',0,0,0
630,'913,21046','0,91321046','-0,0011424124','1,7802358866',0,0,0
631,'914,5492','0,9145492','-0,0011424124','1,7802358866',0,0,0
632,'915,79188','0,91579188','-0,0011424124','1,7802358866',0,0,0
633,'917,00624','0,91700624','-0,0011424124','1,7802358866',0,0,0
634,'918,38516','0,91838516','-0,0011424124','1,7802358866',0,0,0
635,'919,59214','0,91959214','-0,0011424124','1,7802358866',0,0,0
636,'920,82474','0,92082474','-0,0011424124','1,7802358866',0,0,0
637,'922,02144','0,92202144','-0,0011424124','1,7802358866',0,0,0
638,'923,38076','0,92338076','-0,0011424124','1,7802358866',0,0,0
639,'924,58384','0,92458384','-0,0011424124','1,7802358866',0,0,0
640,'925,81708','0,92581708','-0,0011424124','1,7802358866',0,0,0
641,'927,04388','0,92704388','-0,0011424124','1,7802358866',0,0,0
642,'928,41226','0,92841226','-0,0011424124','1,7802358866',0,0,0
643,'929,60744','0,92960744','-0,0011424124','1,7802358866',0,0,0
644,'930,84614','0,93084614','-0,0011424124','1,7802358866',0,0,0
645,'932,02518','0,93202518','-0,0011424124','1,7802358866',0,0,0
646,'933,37362','0,93337362','-0,0011424124','1,7802358866',0,0,0
647,'934,57276','0,93457276','-0,0011424124','1,7802358866',0,0,0
648,'935,81704','0,93581704','-0,0011424124','1,7802358866',0,0,0
649,'937,0382','0,9370382','-0,0011424124','1,7802358866',0,0,0
650,'938,41864','0,93841864','-0,0011424124','1,7802358866',0,0,0
651,'939,6258','0,9396258','-0,0011424124','1,7802358866',0,0,0
652,'940,85334','0,94085334','-0,0011424124','1,7802358866',0,0,0
653,'942,04916','0,94204916','-0,0011424124','1,7802358866',0,0,0
654,'943,99348','0,94399348','-0,0011424124','1,7802358866',0,0,0
655,'945,13826','0,94513826','-0,0011424124','1,7802358866',0,0,0
656,'947,0316','0,9470316','-0,0011424124','1,7802358866',0,0,0
657,'948,85882','0,94885882','-0,0011424124','1,7802358866',0,0,0
658,'950,01604','0,95001604','-0,0011424124','1,7802358866',0,0,0
659,'951,9957','0,9519957','-0,0011424124','1,7802358866',0,0,0
660,'953,12488','0,95312488','-0,0011424124','1,7802358866',0,0,0
661,'954,94992','0,95494992','-0,0011424124','1,7802358866',0,0,0
662,'956,78276','0,95678276','-0,0011424124','1,7802358866',0,0,0
663,'957,93644','0,95793644','-0,0011424124','1,7802358866',0,0,0
664,'959,8177','0,9598177','-0,0011424124','1,7802358866',0,0,0
665,'960,93234','0,96093234','-0,0011424124','1,7802358866',0,0,0
666,'962,8446','0,9628446','-0,0011424124','1,7802358866',0,0,0
667,'964,82342','0,96482342','-0,0011424124','1,7802358866',0,0,0
668,'965,95866','0,96595866','-0,0011424124','1,7802358866',0,0,0
669,'967,7963','0,9677963','-0,0011424124','1,7802358866',0,0,0
670,'969,62538','0,96962538','-0,0011424124','1,7802358866',0,0,0
671,'970,7993','0,9707993','-0,0011424124','1,7802358866',0,0,0
672,'972,68974','0,97268974','-0,0011424124','1,7802358866',0,0,0
673,'973,84538','0,97384538','-0,0011424124','1,7802358866',0,0,0
674,'975,67098','0,97567098','-0,0011424124','1,7802358866',0,0,0
675,'977,60182','0,97760182','-0,0011424124','1,7802358866',0,0,0
676,'978,7635','0,9787635','-0,0011424124','1,7802358866',0,0,0
677,'980,55454','0,98055454','-0,0011424124','1,7802358866',0,0,0
678,'981,70944','0,98170944','-0,0011424124','1,7802358866',0,0,0
679,'983,55114','0,98355114','-0,0011424124','1,7802358866',0,0,0
680,'985,45848','0,98545848','-0,0011424124','1,7802358866',0,0,0
681,'986,745','0,986745','-0,0011424124','1,7802358866',0,0,0
682,'988,59944','0,98859944','-0,0011424124','1,7802358866',0,0,0
