time,distance_left,distance_right
7.96193354,743,518
7.96348866,747,549
7.96487566,747,549
7.9667925,747,549
7.96867184,747,549
7.96976332,747,549
7.97163738,747,549
7.97354086,663,513
7.97466208,663,513
7.97641066,663,513
7.97751144,663,513
7.97936084,663,513
7.9810365,663,513
7.98216162,663,513
7.9839627,519,478
7.98505602,519,478
7.98688766,519,478
7.98796832,519,478
7.98979834,519,478
7.99168266,519,478
7.99286862,498,495
7.99472204,498,495
7.99580994,498,495
7.99763606,498,495
7.99955168,498,495
8.0006797,498,495
8.00279176,498,495
8.00465044,556,520
8.00584234,556,520
8.0077066,556,520
8.00884788,556,520
8.0106904,556,520
8.01256424,556,520
8.01369122,636,533
8.01546904,636,533
8.01659872,636,533
8.0184982,636,533
8.02018648,636,533
8.02142882,636,533
8.02305174,636,533
8.02416516,693,522
8.02607082,693,522
8.02794178,693,522
8.02908026,693,522
8.03088546,693,522
8.0320074,693,522
8.03385296,722,500
8.03563678,722,500
8.03683818,722,500
8.03877664,722,500
8.03987864,722,500
8.04167538,722,500
8.04348308,736,488
8.0446185,736,488
8.04654422,736,488
8.04774694,736,488
8.04958028,736,488
8.05144994,736,488
8.052601,736,488
8.05437334,726,483
8.05550578,726,483
8.0574444,726,483
8.05936966,726,483
8.06050842,726,483
8.06213742,726,483
8.06338598,670,412
8.06507718,670,412
8.06685736,670,412
8.06802282,670,412
8.06991462,670,412
8.07100948,670,412
8.0728532,539,342
8.07416488,539,342
8.07549414,539,342
8.07670406,539,342
8.0778541,539,342
8.07906294,539,342
8.08037484,539,342
8.08154528,539,342
8.08273126,474,359
8.08387178,474,359
8.08502778,474,359
8.08617354,474,359
8.0875201,474,359
8.08871672,474,359
8.08988052,474,359
8.09102278,474,359
8.09345488,544,418
8.09517092,544,418
8.09643858,544,418
8.09808754,544,418
8.09935886,544,418
8.1010337,544,418
8.10341662,544,418
8.10454798,630,464
8.1061745,630,464
8.10806992,630,464
8.10940242,630,464
8.11105354,630,464
8.11215234,630,464
8.11399144,690,505
8.1150735,690,505
8.11693398,690,505
8.1187685,690,505
8.11986596,690,505
8.12175468,690,505
8.12292682,720,508
8.12473832,720,508
8.12661146,720,508
8.12773056,720,508
8.12962792,720,508
8.13073568,720,508
8.13255716,720,508
8.13446298,735,493
8.13559846,735,493
8.13738986,735,493
8.1385704,735,493
8.14053322,735,493
8.14245572,735,493
8.14360398,760,485
8.14543274,760,485
8.147357,760,485
8.14851858,760,485
8.1501856,760,485
8.15145408,760,485
8.15309732,772,447
8.15417112,772,447
8.15599672,772,447
8.15782798,772,447
8.15896344,772,447
8.16082784,772,447
8.16191186,772,447
8.16372082,761,360
8.16562764,761,360
8.166804,761,360
8.16868826,761,360
8.16980726,761,360
8.17163188,761,360
8.17350276,755,333
8.17464892,755,333
8.17640438,755,333
8.17751826,755,333
8.17936034,755,333
8.18103366,755,333
8.18214564,755,333
8.1839332,753,388
8.1850784,753,388
8.18701316,753,388
8.18879448,753,388
8.18991734,753,388
8.19136338,753,388
8.19255042,753,388
8.1937415,768,450
8.19489162,768,450
8.1960685,768,450
8.19735908,768,450
8.19861112,768,450
8.1997724,768,450
8.20092448,768,450
8.20264186,768,450
8.20384238,794,498
8.20500192,794,498
8.20616116,794,498
8.20748956,794,498
8.2087258,794,498
8.20987592,794,498
8.21103124,794,498
8.2123513,794,498
8.2135021,789,539
8.21469284,789,539
8.21583692,789,539
8.21701522,789,539
8.2181763,789,539
