Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
145,14299.948280,2585,1488
146,14399.960120,2414,1464
147,14499.986400,2354,1530
148,14599.954740,2354,1518
149,14699.957900,2354,1518
150,14799.968620,2354,1534
151,14899.968760,2354,1535
152,14999.963020,2354,1535
153,15099.958700,2354,1534
154,15199.954180,2354,1518
155,15300.043480,2354,1535
156,15399.963340,2354,1535
157,15499.970860,2354,1522
158,15599.962980,2354,1502
159,15699.979740,2354,1535
160,15799.951440,2354,1531
161,15899.954820,2354,1519
162,15999.964400,2354,1535
163,16099.976320,2354,1531
164,16199.992260,2354,1518
165,16299.955880,2354,1510
166,16399.984020,2354,1535
167,16499.973200,2354,1533
168,16599.981660,2354,1532
169,16699.960460,2354,1517
170,16799.968240,2354,1531
171,16899.960280,2354,1535
172,16999.957260,2354,1534
173,17099.969220,2354,1518
174,17199.949860,2354,1509
175,17299.964320,2354,1535
176,17399.973920,2354,1532
177,17499.958520,2354,1534
178,17599.960040,2354,1537
179,17699.975660,2354,1535
180,17799.956000,2354,1518
181,17899.952600,2354,1518
182,17999.985400,2354,1550
183,18099.956460,2354,1535
184,18199.957400,2354,1515
185,18299.954200,2354,1535
186,18399.955900,2354,1535
187,18499.964760,2354,1522
188,18599.962360,2354,1535
189,18699.961960,2354,1518
190,18799.980380,2354,1509
191,18899.988140,2354,1535
192,19000.000120,2354,1547
193,19099.958000,2354,1514
194,19199.959700,2354,1535
195,19299.973540,2354,1535
196,19399.956700,2354,1535
197,19499.963820,2354,1518
198,19599.955260,2354,1534
199,19699.971260,2354,1535
200,19799.980440,2354,1532
201,19899.995600,2354,1535
202,19999.956060,2354,1535
203,20099.954840,2354,1535
204,20199.963180,2354,1535
205,20299.955100,2354,1535
206,20399.952040,2354,1510
207,20499.980800,2354,1525
208,20599.956900,2354,1547
209,20699.953940,2354,1530
210,20799.958480,2354,1535
211,20899.964360,2354,1535
212,20999.998760,2354,1535
213,21099.952940,2354,1535
214,21199.959080,2354,1509
215,21299.953920,2354,1509
216,21399.950820,2354,1535
217,21499.948440,2354,1532
218,21599.960080,2354,1533
219,21699.984140,2354,1535
220,21799.958320,2354,1535
221,21899.962140,2354,1535
222,21999.955120,2354,1510
223,22100.015540,2354,1526
224,22199.993000,2354,1532
225,22299.953980,2354,1525
226,22399.974460,2354,1535
227,22499.972460,2354,1535
