Sample,X(ms) [16.06.2017 16:26:20 534 UTC],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0],"M_crank_angle"[%MD72],"M_crank_angular_velocity"[%MD80]
4335,5924.166260,50,0,47.3752174377441,25.1327514648438
4336,5925.346760,50,0,47.417106628418,25.1327514648438
4337,5926.544200,50,0,47.4589958190918,25.1327514648438
4338,5928.114640,50,0,47.5008811950684,25.1327514648438
4339,5929.368800,50,0,47.5427703857422,25.1327514648438
4340,5930.645400,50,0,47.5846557617188,25.1327514648438
4341,5932.025900,50,0,47.6265449523926,25.1327514648438
4342,5933.207580,50,0,47.6474914550781,25.1327514648438
4343,5934.663000,50,0,47.689380645752,25.1327514648438
4344,5935.999060,50,0,47.7312660217285,25.1327514648438
4345,5937.207340,50,0,47.7731552124023,25.1327514648438
4346,5938.398140,50,0,47.8150405883789,25.1327514648438
4347,5939.585140,50,0,47.8569297790527,25.1327514648438
4348,5940.899300,50,0,47.877872467041,25.1327514648438
4349,5942.231280,50,0,47.9197616577148,30.1593017578125
4350,5943.402620,50,0,47.9616470336914,30.1593017578125
4351,5944.600060,50,0,48.0035362243652,30.1593017578125
4352,5945.917160,50,0,48.0244827270508,30.1593017578125
4353,5947.121900,50,0,48.0663681030273,30.1593017578125
4354,5948.350700,50,0,48.0873107910156,30.1593017578125
4355,5949.536020,50,0,48.1291999816895,30.1593017578125
4356,5950.698840,50,0,48.1710891723633,30.1593017578125
4357,5952.042660,50,0,48.1920318603516,30.1593017578125
4358,5953.225440,50,0,48.2339210510254,30.1593017578125
4359,5954.422440,50,0,48.2548637390137,30.1593017578125
4360,5955.603500,50,0,48.2967529296875,30.1593017578125
4361,5956.900680,50,0,48.3386383056641,30.1593017578125
4362,5958.138740,50,0,48.3595848083496,30.1593017578125
4363,5959.330760,50,0,48.4014739990234,30.1593017578125
4364,5960.528660,50,0,48.4224166870117,30.1593017578125
4365,5961.691580,50,0,48.4643020629883,30.1593017578125
4366,5963.191380,50,0,48.4852485656738,30.1593017578125
4367,5964.377940,50,0,48.5271377563477,30.1593017578125
4368,5965.579020,50,0,48.5480766296387,30.1593017578125
4369,5966.898140,50,0,48.5899658203125,30.1593017578125
4370,5968.146860,50,0,48.610912322998,30.1593017578125
4371,5969.336140,50,0,48.6318550109863,30.1593017578125
4372,5970.529480,50,0,48.6737403869629,30.1593017578125
4373,5971.704320,50,0,48.6946868896484,30.1593017578125
4374,5973.064860,50,0,48.7365760803223,30.1593017578125
4375,5974.266840,50,0,48.7575225830078,30.1593017578125
4376,5975.463300,50,0,48.7784614562988,30.1593017578125
4377,5976.632420,50,0,48.8203506469727,30.1593017578125
4378,5978.010720,50,0,48.8412971496582,30.1593017578125
4379,5979.207120,50,0,48.8622398376465,30.1593017578125
4380,5980.404140,50,0,48.904125213623,30.1593017578125
4381,5981.567020,50,0,48.9250717163086,30.1593017578125
4382,5982.905900,50,0,48.9460144042969,30.1593017578125
4383,5984.095580,50,0,48.9879035949707,30.1593017578125
4384,5985.314040,50,0,49.008846282959,30.1593017578125
4385,5986.478380,50,0,49.0297889709473,30.1593017578125
4386,5987.640480,50,0,49.0716781616211,30.1593017578125
4387,5989.044240,50,0,49.0926246643066,30.1593017578125
4388,5990.234900,50,0,49.1135673522949,30.1593017578125
4389,5991.469520,50,0,49.1554527282715,30.1593017578125
4390,5993.031200,50,0,49.176399230957,24.7138214111328
4391,5994.246640,50,0,49.2182884216309,24.7138214111328
4392,5995.411140,50,0,49.2392311096191,24.7138214111328
4393,5996.600560,50,0,49.2601737976074,24.7138214111328
4394,5997.928080,50,0,49.3020629882813,24.7138214111328
4395,5999.142760,50,0,49.3230056762695,24.7138214111328
4396,6000.326880,50,0,49.3439521789551,24.7138214111328
4397,6001.523060,50,0,49.3858375549316,24.7138214111328
4398,6002.707940,50,0,49.4067802429199,24.7138214111328
4399,6004.073960,50,0,49.4277267456055,24.7138214111328
4400,6005.320360,50,0,49.4696159362793,24.7138214111328
4401,6006.491920,50,0,49.4905586242676,24.7138214111328
4402,6007.662460,50,0,49.5115013122559,24.7138214111328
4403,6009.037460,50,0,49.5533905029297,24.7138214111328
4404,6010.236420,50,0,49.574333190918,24.7138214111328
4405,6011.439580,50,0,49.5952796936035,24.7138214111328
4406,6012.614620,50,0,49.6371650695801,24.7138214111328
4407,6013.957460,50,0,49.6581077575684,24.7138214111328
4408,6015.128280,50,0,49.6999969482422,24.7138214111328
4409,6016.337940,50,0,49.7209434509277,24.7138214111328
4410,6017.513140,50,0,49.7418823242188,24.7138214111328
4411,6018.885200,50,0,49.7837715148926,24.7138214111328
4412,6020.068700,50,0,49.8047180175781,24.7138214111328
4413,6021.272120,50,0,49.8466033935547,24.7138214111328
4414,6022.434900,50,0,49.867546081543,24.7138214111328
4415,6023.593020,50,0,49.9094352722168,24.7138214111328
4416,6024.929860,50,0,49.9303817749023,24.7138214111328
4417,6026.108520,50,0,49.9722671508789,24.7138214111328
4418,6027.316340,50,0,49.9932098388672,24.7138214111328
4419,6028.632280,50,0,50.035099029541,24.7138214111328
4420,6030.009300,50,0,50.0769882202148,24.7138214111328
4421,6031.188220,50,0,50.0979309082031,24.7138214111328
