exp1_time,exp1_angle,exp1_voltage
3.70811294,17.2787595947439,11.95
3.70918638,17.3415914478157,11.95
3.7102428,17.4044233008875,11.95
3.71129846,17.4672551539593,11.95
3.712344,17.530087007031,11.95
3.7134066,17.5719749090789,11.95
3.71443826,17.6348067621507,11.95
3.715473,17.6976386152225,11.95
3.716519,17.7604704682943,11.95
3.71758816,17.8233023213661,11.95
3.71865128,17.8861341744379,11.95
3.71969546,17.9489660275097,11.95
3.72072038,18.0117978805815,11.95
3.72175794,18.0746297336533,11.95
3.72281034,18.1374615867251,11.95
3.72399404,18.1793494887729,11.95
3.72503582,18.2421813418447,11.95
3.72609384,18.3050131949165,11.95
3.72716958,18.3678450479883,11.95
3.72850704,18.4306769010601,11.95
3.7295837,18.5144527051558,11.95
3.7306192,18.5772845582276,11.95
3.73167658,18.6401164112994,11.95
3.73271268,18.7029482643712,11.95
3.73375506,18.7448361664191,11.95
3.73478788,18.8076680194909,11.95
3.73581162,18.8704998725627,11.95
3.7370344,18.9333317256345,11.95
3.73808644,18.9961635787063,11.95
3.73948016,19.0589954317781,11.95
3.74053422,19.1427712358738,11.95
3.74158308,19.2056030889456,11.95
3.74261486,19.2684349420174,11.95
3.7436369,19.3103228440653,11.95
3.74470782,19.3731546971371,11.95
3.74574568,19.4359865502089,11.95
3.7467946,19.4988184032807,11.95
3.7480109,19.5616502563524,11.95
3.74905722,19.6244821094242,11.95
3.75012042,19.687313962496,11.95
3.75117978,19.7292018645439,11.95
3.75226858,19.7920337176157,11.95
3.75332642,19.8548655706875,11.95
3.75437002,19.9176974237593,11.95
3.75540508,19.9805292768311,11.95
3.75642048,20.0433611299029,11.95
3.75750056,20.1061929829747,11.95
3.75853402,20.1690248360465,11.95
3.7595964,20.2318566891183,11.95
3.76063244,20.2946885421901,11.95
3.7616705,20.3575203952619,11.95
3.76273992,20.4203522483337,11.95
3.76376404,20.4622401503815,11.95
3.7648191,20.5250720034533,11.95
3.76598972,20.5879038565251,11.95
3.7670554,20.6507357095969,11.95
3.76812252,20.7135675626687,11.95
3.76918982,20.7763994157405,11.95
3.77026488,20.8392312688123,11.95
3.7713152,20.9020631218841,11.95
3.77237866,20.943951023932,11.95
3.77341118,21.0067828770037,11.95
3.77443004,21.0696147300755,11.95
3.77548266,21.1324465831473,11.95
3.7765117,21.1952784362191,11.95
3.77759392,21.2581102892909,11.95
3.77864136,21.3209421423627,11.95
3.77968076,21.3837739954345,11.95
3.78073182,21.4466058485063,11.95
3.78175862,21.5094377015781,11.95
3.78310586,21.5722695546499,11.95
3.78416842,21.6351014077217,11.95
3.78525638,21.6979332607935,11.95
3.78630016,21.7607651138653,11.95
3.78737322,21.8026530159132,11.95
3.78847168,21.865484868985,11.95
3.78950856,21.9492606730807,11.95
3.79056578,22.0120925261525,11.95
3.79160456,22.0539804282003,11.95
3.79262552,22.1168122812721,11.95
3.79368004,22.1796441343439,11.95
3.79470048,22.2424759874157,11.95
3.79574292,22.3053078404875,11.95
3.79677702,22.3681396935593,11.95
3.79798638,22.4309715466311,11.95
3.79905818,22.4938033997029,11.95
3.80008888,22.5356913017508,11.95
3.8011626,22.5985231548226,11.95
3.8022217,22.6613550078944,11.95
3.80329112,22.7241868609662,11.95
3.80432974,22.787018714038,11.95
3.80536042,22.8498505671098,11.95
3.8064184,22.9126824201816,11.95
3.80748954,22.9755142732534,11.95
3.80855392,23.0383461263251,11.95
3.80958892,23.1011779793969,11.95
3.81060706,23.1640098324687,11.95
3.81166574,23.2058977345166,11.95
3.81270234,23.2687295875884,11.95
3.8137602,23.3315614406602,11.95
3.81479002,23.394393293732,11.95
3.81581356,23.4572251468038,11.95
3.81704012,23.5200569998756,11.95
3.81807662,23.5828888529474,11.95
3.81914344,23.6247767549952,11.95
3.82020524,23.687608608067,11.95
3.82128116,23.7504404611388,11.95
3.822326,23.8132723142106,11.95
3.82335906,23.8761041672824,11.95
3.82441204,23.9389360203542,11.95
3.8254451,24.001767873426,11.95
3.8265111,24.0645997264978,11.95
3.82757386,24.1274315795696,11.95
3.82904952,24.2112073836653,11.95
3.8300989,24.2740392367371,11.95
3.83113334,24.315927138785,11.95
3.83222306,24.3787589918568,11.95
3.83326722,24.4415908449286,11.95
3.83433072,24.5044226980004,11.95
3.83537218,24.5672545510722,11.95
3.83639678,24.630086404144,11.95
3.83746928,24.6929182572158,11.95
3.83849682,24.7557501102876,11.95
3.84004964,24.8395259143833,11.95
3.84110508,24.9023577674551,11.95
3.84219146,24.9651896205269,11.95
3.84325556,25.0280214735987,11.95
3.84429744,25.0908533266705,11.95
3.84535658,25.1536851797423,11.95
3.84639148,25.1955730817901,11.95
3.84748268,25.2584049348619,11.95
3.84852434,25.3421807389577,11.95
3.84958402,25.3840686410055,11.95
3.85062178,25.4469004940773,11.95
3.85164918,25.5097323471491,11.95
3.85269798,25.5725642002209,11.95
3.85373096,25.6353960532927,11.95
3.8547785,25.6982279063645,11.95
3.85581034,25.7610597594363,11.95
3.85700752,25.8029476614842,11.95
3.85807972,25.865779514556,11.95
3.85914522,25.9286113676278,11.95
3.86021804,25.9914432206996,11.95
3.86126858,26.0542750737714,11.95
3.86230654,26.1171069268431,11.95
3.8633868,26.1799387799149,11.95
3.86441406,26.2427706329867,11.95
3.86546542,26.3056024860585,11.95
3.86649026,26.3684343391303,11.95
3.86758378,26.4312661922021,11.95
3.86861508,26.4940980452739,11.95
3.86965166,26.5569298983457,11.95
3.87070806,26.6197617514175,11.95
3.87172726,26.6616496534654,11.95
3.87281238,26.7244815065372,11.95
3.87399632,26.787313359609,11.95
3.87501606,26.8501452126808,11.95
3.87609006,26.9129770657526,11.95
3.87715448,26.9758089188244,11.95
3.87824882,27.0386407718961,11.95
3.87930114,27.1014726249679,11.95
3.88035452,27.1643044780397,11.95
3.88138434,27.2061923800876,11.95
3.88252016,27.2690242331594,11.95
3.883583,27.3528000372551,11.95
3.88460928,27.4156318903269,11.95
3.885664,27.4784637433987,11.95
3.88669954,27.5412955964705,11.95
3.8877525,27.5831834985184,11.95
3.8890177,27.6460153515902,11.95
3.89005646,27.708847204662,11.95
3.89113082,27.7716790577338,11.95
3.89219086,27.8345109108056,11.95
3.89327192,27.8973427638774,11.95
3.89431392,27.9601746169492,11.95
3.89534398,28.023006470021,11.95
3.89639538,28.0858383230928,11.95
3.89744912,28.1486701761645,11.95
3.89850046,28.1905580782124,11.95
3.89953904,28.2743338823081,11.95
3.9005795,28.3371657353799,11.95
3.90162638,28.3790536374278,11.95
3.90265714,28.4418854904996,11.95
3.9037143,28.5047173435714,11.95
3.90473158,28.5675491966432,11.95
3.9057393,28.630381049715,11.95
3.9067879,28.6932129027868,11.95
3.90798958,28.7560447558586,11.95
3.90906012,28.7979326579064,11.95
3.91010556,28.8607645109782,11.95
3.911137,28.92359636405,11.95
3.91222696,28.9864282171218,11.95
3.91327686,29.0492600701936,11.95
3.91432942,29.1120919232654,11.95
3.91537726,29.1749237763372,11.95
3.91643306,29.237755629409,11.95
3.91749402,29.3005874824808,11.95
3.91867986,29.3634193355526,11.95
3.9197824,29.4262511886244,11.95
3.92105364,29.5100269927201,11.95
3.92212744,29.551914894768,11.95
3.9232041,29.6147467478398,11.95
3.92439176,29.6775786009116,11.95
3.92543626,29.7613544050073,11.95
3.92646858,29.8032423070552,11.95
3.92757694,29.8870181111509,11.95
3.9290171,29.9498499642227,11.95
3.93010738,30.0126818172945,11.95
3.93115918,30.0755136703663,11.95
3.93224304,30.1383455234381,11.95
3.93328822,30.2011773765099,11.95
3.93432128,30.2640092295817,11.95
3.9353844,30.3268410826535,11.95
3.93640572,30.3896729357253,11.95
3.93749106,30.4525047887971,11.95
3.9385299,30.5153366418689,11.95
3.94008796,30.5991124459646,11.95
3.9417183,30.6619442990364,11.95
3.94345578,30.766664054156,11.95
3.94442582,30.8504398582518,11.95
3.94606792,30.9132717113236,11.95
3.94708202,30.9970475154193,11.95
3.94858762,31.0598793684911,11.95
3.94957108,31.1436551725868,11.95
3.95129916,31.2483749277065,11.95
3.9522871,31.2902628297543,11.95
3.9537862,31.394982584874,11.95
3.95475474,31.4578144379458,11.95
3.95648238,31.5415902420415,11.95
3.95748286,31.6044220951133,11.95
3.9592608,31.6463099971612,11.95
3.96033648,31.7510297522808,11.95
3.96198218,31.8557495074005,11.95
3.9641743,31.9395253114962,11.95
3.96518516,32.0442450666159,11.95
3.96668588,32.1070769196877,11.95
3.96770232,32.1908527237834,11.95
3.96941608,32.2536845768552,11.95
3.97039642,32.3374603809509,11.95
3.9721377,32.4002922340227,11.95
3.97314746,32.5050119891424,11.95
3.97464336,32.5887877932381,11.95
3.97560574,32.6516196463099,11.95
3.97735384,32.7353954504056,11.95
3.97834438,32.7982273034774,11.95
3.98012462,32.9029470585971,11.95
3.98117668,32.9657789116689,11.95
3.98273278,33.0704986667885,11.95
3.98369136,33.1123865688364,11.95
3.98542642,33.2171063239561,11.95
3.9871229,33.2799381770279,11.95
3.98822594,33.3637139811236,11.95
3.9900461,33.4265458341954,11.95
3.9910847,33.5312655893151,11.95
3.99260468,33.5940974423869,11.95
3.99358732,33.6988171975065,11.95
3.99529948,33.7407050995544,11.95
3.99628942,33.845424854674,11.95
3.99781838,33.8873127567219,11.95
3.99878616,33.9920325118416,11.95
4.00045372,34.0548643649134,11.95
4.00143574,34.1386401690091,11.95
4.00315242,34.2014720220809,11.95
4.00414394,34.2852478261766,11.95
4.00565248,34.3480796792484,11.95
4.00668774,34.4527994343681,11.95
4.00852278,34.5365752384638,11.95
4.00952014,34.5994070915356,11.95
4.01121676,34.7041268466552,11.95
4.01219972,34.766958699727,11.95
4.0137676,34.8507345038228,11.95
4.01471912,34.9135663568946,11.95
4.01643294,34.9973421609903,11.95
4.01743408,35.0601740140621,11.95
4.0190939,35.1648937691818,11.95
4.02004602,35.2067816712296,11.95
4.02163268,35.3115014263493,11.95
4.0226264,35.3743332794211,11.95
4.02441524,35.4581090835168,11.95
4.02612752,35.5209409365886,11.95
4.02717408,35.6256606917083,11.95
4.02875246,35.68849254478,11.95
4.02974572,35.7722683488758,11.95
4.03142766,35.8351002019476,11.95
4.03240626,35.9188760060433,11.95
4.03415932,35.9817078591151,11.95
4.03518044,36.0864276142348,11.95
4.03673054,36.1492594673066,11.95
4.03797342,36.2539792224262,11.95
4.04000038,36.2958671244741,0
4.04154102,36.4215308306177,0
4.0425609,36.5262505857373,0
4.04418116,36.5681384877852,0
4.04522124,36.6519142918809,0
4.04681174,36.7147461449527,0
4.0480331,36.8194659000724,0
4.04959176,36.8613538021202,0
4.05057704,36.945129606216,0
4.052306,36.9870175082638,0
4.05330084,37.0707933123596,0
4.0550552,37.1126812144074,0
4.05603298,37.1964570185032,0
4.0575677,37.238344920551,0
4.05855856,37.3221207246467,0
4.06030556,37.3640086266946,0
4.06129324,37.4268404797664,0
4.0627667,37.4687283818143,0
4.06374608,37.55250418591,0
4.06544102,37.5734481369339,0
4.06642436,37.6362799900057,0
4.06821624,37.6781678920536,0
4.06931854,37.7409997451254,0
4.0709744,37.8038315981972,0
4.07178654,37.845719500245,0
4.07342724,37.8876074022929,0
4.07446052,37.9294953043408,0
4.07553496,37.9713832063886,0
4.07656864,37.9923271574126,0
4.07764508,38.0342150594604,0
4.07869308,38.0761029615083,0
4.07972016,38.0970469125322,0
4.08076778,38.1389348145801,0
4.08178206,38.159878765604,0
4.08297826,38.1808227166279,0
4.08422292,38.2227106186758,0
4.08534962,38.2436545696997,0
4.08649578,38.2855424717476,0
4.0875995,38.3274303737955,0
4.08862336,38.3483743248194,0
4.0896616,38.3693182758433,0
4.09071538,38.3902622268673,0
4.0917411,38.4112061778912,0
4.09298064,38.4530940799391,0
4.0940201,38.474038030963,0
4.09505692,38.4949819819869,0
4.09611968,38.5159259330109,0
4.09721108,38.5368698840348,0
4.09827814,38.5578138350587,0
4.09932776,38.5787577860827,0
4.1003658,38.5997017371066,0
4.1014323,38.6206456881305,0
4.1024646,38.6415896391545,0
4.10351486,38.6625335901784,0
4.10455852,38.6834775412023,0
4.1056096,38.7044214922262,0
4.10663564,38.7253654432502,0
4.10770358,38.7463093942741,0
4.10874886,38.7672533452981,0
4.1097895,38.7672533452981,0
4.11097738,38.788197296322,0
4.1120215,38.8091412473459,0
4.1130469,38.8300851983698,0
4.11412516,38.8510291493938,0
4.1151766,38.8510291493938,0
4.11626336,38.8719731004177,0
4.11734782,38.8929170514416,0
4.11841282,38.8929170514416,0
4.11944978,38.9138610024656,0
4.1204742,38.9348049534895,0
4.1215362,38.9348049534895,0
4.1225686,38.9557489045134,0
4.12361244,38.9766928555374,0
4.12465322,38.9766928555374,0
4.12567306,38.9976368065613,0
4.12672138,38.9976368065613,0
4.12777326,39.0185807575852,0
4.1292808,39.0395247086092,0
4.13032348,39.0395247086092,0
4.13137842,39.0604686596331,0
4.13242528,39.0604686596331,0
4.13345492,39.081412610657,0
4.1345176,39.081412610657,0
4.1355364,39.102356561681,0
4.13659212,39.102356561681,0
4.13766666,39.102356561681,0
4.13869046,39.1233005127049,0
4.14027378,39.1233005127049,0
4.1413102,39.1442444637288,0
4.14237316,39.1442444637288,0
4.14340314,39.1651884147528,0
4.14444314,39.1651884147528,0
4.1454726,39.1651884147528,0
4.14649782,39.1861323657767,0
4.14759708,39.1861323657767,0
4.14861416,39.1861323657767,0
4.14966658,39.2070763168006,0
4.15070058,39.2070763168006,0
4.15171602,39.2070763168006,0
4.15276754,39.2280202678246,0
4.15379972,39.2280202678246,0
4.15499004,39.2280202678246,0
4.15600914,39.2280202678246,0
4.15708318,39.2489642188485,0
4.15814428,39.2489642188485,0
4.15921006,39.2489642188485,0
4.16028462,39.2489642188485,0
4.16131996,39.2699081698724,0
4.16236782,39.2699081698724,0
4.1634041,39.2699081698724,0
4.16442134,39.2699081698724,0
4.16548616,39.2908521208963,0
4.16651632,39.2908521208963,0
4.16760248,39.2908521208963,0
4.1686294,39.2908521208963,0
4.16967204,39.2908521208963,0
4.17072262,39.3117960719203,0
4.17175428,39.3117960719203,0
4.17298638,39.3117960719203,0
4.17402114,39.3117960719203,0
4.17508334,39.3117960719203,0
4.1761274,39.3117960719203,0
4.17721144,39.3327400229442,0
4.17827656,39.3327400229442,0
4.17931094,39.3327400229442,0
4.180375,39.3327400229442,0
4.18141668,39.3327400229442,0
4.18244256,39.3327400229442,0
4.18349208,39.3327400229442,0
4.18463666,39.3327400229442,0
4.18569984,39.3536839739681,0
4.1867383,39.3536839739681,0
4.18778282,39.3536839739681,0
4.18900036,39.3536839739681,0
4.19001446,39.3536839739681,0
4.19108052,39.3536839739681,0
4.19213244,39.3536839739681,0
4.19325246,39.3536839739681,0
4.19429802,39.3536839739681,0
4.19532228,39.3746279249921,0
4.19639438,39.3746279249921,0
4.19746136,39.3746279249921,0
4.19852112,39.3746279249921,0
4.1995613,39.3746279249921,0
4.20058418,39.3746279249921,0
4.2016269,39.3746279249921,0
4.20264548,39.3746279249921,0
4.20369582,39.3746279249921,0
4.2047356,39.3746279249921,0
4.2057579,39.3746279249921,0
4.20681368,39.3746279249921,0
4.2080107,39.3746279249921,0
4.20908642,39.3746279249921,0
4.21013336,39.3746279249921,0
4.21121914,39.3746279249921,0
4.21228018,39.395571876016,0
4.21331374,39.395571876016,0
4.21436848,39.395571876016,0
4.21539404,39.395571876016,0
4.21644924,39.395571876016,0
4.21752944,39.395571876016,0
4.2185561,39.395571876016,0
4.2196099,39.395571876016,0
4.2206313,39.395571876016,0
4.22168746,39.395571876016,0
4.22272612,39.395571876016,0
4.22373246,39.395571876016,0
4.2247905,39.395571876016,0
4.22581506,39.395571876016,0
4.22703784,39.395571876016,0
4.22834446,39.395571876016,0
4.2294327,39.395571876016,0
4.23046354,39.395571876016,0
4.23149238,39.395571876016,0
4.23253912,39.395571876016,0
4.23358032,39.395571876016,0
4.23462844,39.395571876016,0
4.23566476,39.395571876016,0
4.23667366,39.395571876016,0
4.23777778,39.395571876016,0
4.23881004,39.395571876016,0
4.2403462,39.395571876016,0
4.24137638,39.395571876016,0
4.24243672,39.395571876016,0
4.24347524,39.395571876016,0
4.24452556,39.395571876016,0
4.24555712,39.395571876016,0
4.24657,39.395571876016,0
4.24765408,39.395571876016,0
4.2486785,39.395571876016,0
4.24973644,39.395571876016,0
4.25076536,39.395571876016,0
4.25178858,39.395571876016,0
4.25298926,39.395571876016,0
4.25399946,39.395571876016,0
4.25505864,39.395571876016,0
4.25608932,39.395571876016,0
4.25716736,39.395571876016,0
4.2582531,39.395571876016,0
4.25930324,39.395571876016,0
4.2603622,39.395571876016,0
4.26139984,39.395571876016,0
4.26241078,39.395571876016,0
4.263473,39.395571876016,0
4.26450082,39.395571876016,0
4.26555782,39.395571876016,0
4.26658532,39.395571876016,0
4.26766032,39.395571876016,0
4.26870464,39.395571876016,0
4.26974456,39.395571876016,0
4.2707889,39.395571876016,0
4.27180974,39.395571876016,0
4.27300052,39.395571876016,0
4.27404582,39.395571876016,0
4.27508336,39.395571876016,0
4.27615838,39.395571876016,0
4.27725254,39.395571876016,0
4.27832826,39.395571876016,0
4.2793678,39.395571876016,0
4.28038168,39.395571876016,0
4.2814421,39.395571876016,0
4.28246826,39.395571876016,0
4.28352532,39.395571876016,0
4.28469368,39.395571876016,0
4.28574524,39.395571876016,0
4.28715008,39.395571876016,0
4.28824384,39.395571876016,0
4.28930846,39.395571876016,0
4.29033874,39.395571876016,0
4.2914016,39.395571876016,0
4.29242382,39.395571876016,0
4.29346308,39.395571876016,0
4.29454448,39.395571876016,0
4.29556108,39.395571876016,0
4.2966068,39.395571876016,0
4.2976634,39.395571876016,0
4.29870806,39.395571876016,0
4.29974622,39.395571876016,0
4.30076916,39.395571876016,0
4.30196506,39.395571876016,0
4.30299466,39.395571876016,0
4.30405002,39.395571876016,0
4.30508562,39.395571876016,0
4.30616328,39.395571876016,0
4.30726422,39.395571876016,0
4.30830182,39.395571876016,0
4.30937844,39.395571876016,0
4.31040472,39.395571876016,0
4.31145782,39.395571876016,0
4.31249946,39.395571876016,0
4.31352198,39.395571876016,0
